"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","count_block_loop","count_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_fixation","count_instructions","count_logger","count_pygaze_init","count_pygaze_log__stim_off","count_pygaze_log__stim_on","count_pygaze_start_recording","count_pygaze_stop_recording","count_sketchpad","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_time","response_time_end_of_experiment","response_time_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim1","stim2","subject_nr","subject_parity","time_block_loop","time_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_fixation","time_instructions","time_logger","time_pygaze_init","time_pygaze_log__stim_off","time_pygaze_log__stim_on","time_pygaze_start_recording","time_pygaze_stop_recording","time_sketchpad","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","0","0","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a9","stim_b9","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","30484.2914742","29686.2177913","34324.7848481","1693.89030203","34226.0181119","31228.5750453","30480.2377576","34226.2101278","31231.2500107","30480.1522272","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","1","1","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a5","stim_b5","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","34441.403076","29686.2177913","38270.3746406","1693.89030203","38183.6309223","35185.4240686","34436.1861451","38184.6666963","35187.9976804","34436.1083124","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","2","0","2","0","2","2","2","2","2","2","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","2","2","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a2","stim_b2","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","38346.8298987","29686.2177913","42179.0674442","1693.89030203","42088.2289548","39090.9411259","38340.9860295","42088.4017263","39093.4993423","38340.9013543","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","3","0","3","0","3","3","3","3","3","3","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","3","3","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a8","stim_b8","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","42263.0438241","29686.2177913","46095.5905622","1693.89030203","46004.7084523","43007.0921865","42256.7551964","46004.8739538","43009.812483","42256.6739424","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","4","0","4","0","4","4","4","4","4","4","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","4","4","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a3","stim_b3","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","46185.2752456","29686.2177913","50013.0262903","1693.89030203","49926.8132887","46929.1298814","46178.307506","49926.9779348","46931.8732712","46178.2253967","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","5","0","5","0","5","5","5","5","5","5","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","5","5","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a7","stim_b7","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","50099.1503403","29686.2177913","53921.5796794","1693.89030203","53841.3533828","50843.6738244","50091.3084793","53841.5424051","50846.2461533","50091.2259424","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","6","0","6","0","6","6","6","6","6","6","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","6","6","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a6","stim_b6","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","54006.9874116","29686.2177913","57822.0187927","1693.89030203","57748.6999369","54751.0178126","54000.7150347","57748.8697149","54753.4665499","54000.6354914","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","7","0","7","0","7","7","7","7","7","7","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","7","7","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a4","stim_b4","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","57907.1724996","29686.2177913","61805.6542482","1693.89030203","61649.9443197","58651.7083856","57900.6011937","61650.1081105","58654.2986758","57900.5212227","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","8","0","8","0","8","8","8","8","8","8","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","8","8","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a10","stim_b10","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","61892.1084458","29686.2177913","65796.8715521","1693.89030203","65634.2824079","62636.350107","61884.5907453","65634.4654431","62639.2290626","61884.508636","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","9","0","9","0","9","9","9","9","9","9","10/06/17 14:45:25","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","9","9","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","766.900392948","NA","766.900392948","2","legacy","1024","2","48000","-16","experiment","stim_a1","stim_b1","0","even","30454.1843216","30454.132148","NA","1693.59949848","30453.506065","65881.9581174","29686.2177913","69697.5997585","1693.89030203","69624.3061341","66626.0424026","65876.2134635","69624.4729185","66628.8747441","65876.1326373","PyGaze Tobii Test","0","0","0","yes","1366"
